entity_name,entity_number,description,category
,&#10074;,Heavy vertical bar,Dingbats
,&#10075;,Heavy single turned comma quotation mark ornament,Dingbats
,&#10076;,Heavy single comma quotation mark ornament,Dingbats
,&#10077;,Heavy double turned comma quotation mark ornament,Dingbats
,&#10078;,Heavy double comma quotation mark ornament,Dingbats
,&#10081;,Curved stem paragraph sign ornament,Dingbats
,&#10082;,Heavy exclamation mark ornament,Dingbats
,&#10083;,Heavy heart exclamation mark ornament,Dingbats
,&#10084;,Heavy black heart,Dingbats
,&#10085;,Rotated heavy black heart bullet,Dingbats
,&#10086;,Floral heart,Dingbats
,&#10087;,Rotated floral heart bullet,Dingbats
,&#10102;,Dingbat negative circled digit one,Dingbats
,&#10103;,Dingbat negative circled digit two,Dingbats
,&#10104;,Dingbat negative circled digit three,Dingbats
,&#10105;,Dingbat negative circled digit four,Dingbats
,&#10106;,Dingbat negative circled digit five,Dingbats
,&#10107;,Dingbat negative circled digit six,Dingbats
,&#10108;,Dingbat negative circled digit seven,Dingbats
,&#10109;,Dingbat negative circled digit eight,Dingbats
,&#10110;,Dingbat negative circled digit nine,Dingbats
,&#10111;,Dingbat negative circled number 10,Dingbats
,&#10112;,Dingbat circled sans-serif digit one,Dingbats
,&#10113;,Dingbat circled sans-serif digit two,Dingbats
,&#10114;,Dingbat circled sans-serif digit three,Dingbats
,&#10115;,Dingbat circled sans-serif digit four,Dingbats
,&#10116;,Dingbat circled sans-serif digit five,Dingbats
,&#10117;,Dingbat circled sans-serif digit six,Dingbats
,&#10118;,Dingbat circled sans-serif digit seven,Dingbats
,&#10119;,Dingbat circled sans-serif digit eight,Dingbats
,&#10120;,Dingbat circled sans-serif digit nine,Dingbats
,&#10121;,Dingbat circled sans-serif number ten,Dingbats
,&#10122;,Dingbat negative circled sans-serif digit one,Dingbats
,&#10123;,Dingbat negative circled sans-serif digit two,Dingbats
,&#10124;,Dingbat negative circled sans-serif digit three,Dingbats
,&#10125;,Dingbat negative circled sans-serif digit four,Dingbats
,&#10126;,Dingbat negative circled sans-serif digit five,Dingbats
,&#10127;,Dingbat negative circled sans-serif digit six,Dingbats
,&#10128;,Dingbat negative circled sans-serif digit seven,Dingbats
,&#10129;,Dingbat negative circled sans-serif digit eight,Dingbats
,&#10130;,Dingbat negative circled sans-serif digit nine,Dingbats
,&#10131;,Dingbat negative circled sans-serif number ten,Dingbats
,&#10132;,Heavy wide-headed rightwards arrow,Dingbats
,&#10136;,Heavy southeast arrow,Dingbats
,&#10137;,Heavy rightwards arrow,Dingbats
,&#10138;,Heavy northeast arrow,Dingbats
,&#10139;,Drafting point rightwards arrow,Dingbats
,&#10140;,Heavy round-tipped rightwards arrow,Dingbats
,&#10141;,Triangle-headed rightwards arrow,Dingbats
,&#10142;,Heavy triangle-headed rightwards arrow,Dingbats
,&#10143;,Dashed triangle-headed rightwards arrow,Dingbats
,&#10144;,Heavy dashed triangle-headed rightwards arrow,Dingbats
,&#10145;,Black rightwards arrow,Dingbats
,&#10146;,Three-D top-lighted rightwards arrowhead,Dingbats
,&#10147;,Three-D bottom-lighted rightwards arrowhead,Dingbats
,&#10148;,Black rightwards arrowhead,Dingbats
,&#10149;,Heavy black curved downwards and rightwards arrow,Dingbats
,&#10150;,Heavy black curved upwards and rightwards arrow,Dingbats
,&#10151;,Square black rightwards arrow,Dingbats
,&#10152;,Heavy concave-pointed black rightwards arrow,Dingbats
,&#10153;,Right-shaded white rightwards arrow,Dingbats
,&#10154;,Left-shaded white rightwards arrow,Dingbats
,&#10155;,Back-tilted shadowed white rightwards arrow,Dingbats
,&#10156;,Front-tilted shadowed white rightwards arrow,Dingbats
,&#10157;,Heavy lower right-shadowed white rightwards arrow,Dingbats
,&#10158;,Heavy upper right-shadowed white rightwards arrow,Dingbats
,&#10159;,Notched lower right-shadowed white rightwards arrow,Dingbats
,&#10161;,Notched upper right-shadowed white rightwards arrow,Dingbats
,&#10162;,Circled heavy white rightwards arrow,Dingbats
,&#10163;,White-feathered rightwards arrow,Dingbats
,&#10164;,Black-feathered southeast arrow,Dingbats
,&#10165;,Black-feathered rightwards arrow,Dingbats
,&#10166;,Black-feathered northeast arrow,Dingbats
,&#10167;,Black-feathered southeast arrow,Dingbats
,&#10168;,Heavy black-feathered rightwards arrow,Dingbats
,&#10169;,Heavy black-feathered northeast arrow,Dingbats
,&#10170;,Teardrop-barbed rightwards arrow,Dingbats
,&#10171;,Heavy teardrop-shanked rightwards arrow,Dingbats
,&#10172;,Wedge-tailed rightwards arrow,Dingbats
,&#10173;,Heavy wedge-tailed rightwards arrow,Dingbats
,&#10174;,Open-outlined rightwards arrow,Dingbats
,&#127757;,Earth Globe Europe Africa,Miscellaneous
,&#128272;,Lock and Key,Miscellaneous
,&#128273;,Key,Miscellaneous
,&#128271;,Lock and Pen
,&#128274;,Lock
,&#128275;,Unlocked
,&#9200;,Alarm Clock
,&#128107;,Man and Woman


