entity_name,entity_number,description,category
&egrave;,&#232;,Lowercase e with grave accent,ISO-8859-1 Characters
&eacute;,&#233;,Lowercase e with acute accent,ISO-8859-1 Characters
&ecirc;,&#234;,Lowercase e with circumflex accent,ISO-8859-1 Characters
&euml;,&#235;,Lowercase e with umlaut,ISO-8859-1 Characters
&igrave;,&#236;,Lowercase i with grave accent,ISO-8859-1 Characters
&iacute;,&#237;,Lowercase i with acute accent,ISO-8859-1 Characters
&icirc;,&#238;,Lowercase i with circumflex accent,ISO-8859-1 Characters
&iuml;,&#239;,Lowercase i with umlaut,ISO-8859-1 Characters
&eth;,&#240;,Lowercase eth (Icelandic),ISO-8859-1 Characters
&ntilde;,&#241;,Lowercase n with tilde,ISO-8859-1 Characters
&ograve;,&#242;,Lowercase o with grave accent,ISO-8859-1 Characters
&oacute;,&#243;,Lowercase o with acute accent,ISO-8859-1 Characters
&ocirc;,&#244;,Lowercase o with circumflex accent,ISO-8859-1 Characters
&otilde;,&#245;,Lowercase o with tilde,ISO-8859-1 Characters
&ouml;,&#246;,Lowercase o with umlaut,ISO-8859-1 Characters
&oslash;,&#248;,Lowercase o with slash,ISO-8859-1 Characters
&ugrave;,&#249;,Lowercase u with grave accent,ISO-8859-1 Characters
&uacute;,&#250;,Lowercase u with acute accent,ISO-8859-1 Characters
&ucirc;,&#251;,Lowercase u with circumflex accent,ISO-8859-1 Characters
&uuml;,&#252;,Lowercase u with umlaut,ISO-8859-1 Characters
&yacute;,&#253;,Lowercase y with acute accent,ISO-8859-1 Characters
&thorn;,&#254;,Lowercase thorn (Icelandic),ISO-8859-1 Characters
&yuml;,&#255;,Lowercase y with umlaut,ISO-8859-1 Characters
&nbsp;,&#160;,Non-breaking space,"ISO-8859-1 Symbols"
&iexcl;,&#161;,Inverted exclamation mark,"ISO-8859-1 Symbols"
&cent;,&#162;,Cent,"ISO-8859-1 Symbols"
&pound;,&#163;,Pound,"ISO-8859-1 Symbols"
&curren;,&#164;,Currency,"ISO-8859-1 Symbols"
&yen;,&#165;,Yen,"ISO-8859-1 Symbols"
&brvbar;,&#166;,Broken vertical bar,"ISO-8859-1 Symbols"
&sect;,&#167;,Section,"ISO-8859-1 Symbols"
&uml;,&#168;,Spacing diaeresis,"ISO-8859-1 Symbols"
&copy;,&#169;,Copyright,"ISO-8859-1 Symbols"
&ordf;,&#170;,Feminine ordinal indicator,"ISO-8859-1 Symbols"
&laquo;,&#171;,Opening/Left angle quotation mark,"ISO-8859-1 Symbols"
&not;,&#172;,Negation,"ISO-8859-1 Symbols"
&shy;,&#173;,Soft hyphen,"ISO-8859-1 Symbols"
&reg;,&#174;,Registered trademark,"ISO-8859-1 Symbols"
&macr;,&#175;,Spacing macron,"ISO-8859-1 Symbols"
&deg;,&#176;,Degree,"ISO-8859-1 Symbols"
&plusmn;,&#177;,Plus or minus,"ISO-8859-1 Symbols"
&sup2;,&#178;,Superscript 2,"ISO-8859-1 Symbols"
&sup3;,&#179;,Superscript 3,"ISO-8859-1 Symbols"
&acute;,&#180;,Spacing acute,"ISO-8859-1 Symbols"
&micro;,&#181;,Micro,"ISO-8859-1 Symbols"
&para;,&#182;,Paragraph,"ISO-8859-1 Symbols"
&cedil;,&#184;,Spacing cedilla,"ISO-8859-1 Symbols"
&sup1;,&#185;,Superscript 1,"ISO-8859-1 Symbols"
&ordm;,&#186;,Masculine ordinal indicator,"ISO-8859-1 Symbols"
&raquo;,&#187;,Closing/Right angle quotation mark,"ISO-8859-1 Symbols"
&frac12;,&#189;,Fraction 1/2,"ISO-8859-1 Symbols, Math"
&frac13;,&#8531;,Fraction 1/3,"ISO-8859-1 Symbols, Math"
&frac14;,&#188;,Fraction 1/4,"ISO-8859-1 Symbols, Math"
&frac15;,&#8533;,Fraction 1/5,"ISO-8859-1 Symbols, Math"
&frac16;,&#8537;,Fraction 1/6,"ISO-8859-1 Symbols, Math"
&frac17;,&#8528;,Fraction 1/7,"ISO-8859-1 Symbols, Math"
&frac18;,&#8539;,Fraction 1/8,"ISO-8859-1 Symbols, Math"
&frac23;,&#8532;,Fraction 2/3,"ISO-8859-1 Symbols, Math"
&frac25;,&#8534;,Fraction 2/5,"ISO-8859-1 Symbols, Math"
&frac34;,&#190;,Fraction 3/4,"ISO-8859-1 Symbols, Math"
&frac35;,&#8535;,Fraction 3/5,"ISO-8859-1 Symbols, Math"
&frac38;,&#8540;,Fraction 3/8,"ISO-8859-1 Symbols, Math"
&frac45;,&#8536;,Fraction 4/5,"ISO-8859-1 Symbols, Math"
&frac56;,&#8538;,Fraction 5/6,"ISO-8859-1 Symbols, Math"
&frac58;,&#8541;,Fraction 5/8,"ISO-8859-1 Symbols, Math"
&frac78;,&#8542;,Fraction 7/8,"ISO-8859-1 Symbols, Math"
&iquest;,&#191;,Inverted question mark,"ISO-8859-1 Symbols"
&times;,&#215;,Multiplication,"ISO-8859-1 Symbols"
&divide;,&#247;,Divide,"ISO-8859-1 Symbols"
&forall;,&#8704;,For all,Math
&part;,&#8706;,Part,Math
&exist;,&#8707;,Exist,Math
&empty;,&#8709;,Empty,Math
&nabla;,&#8711;,Nabla,Math
&isin;,&#8712;,Is in,Math
&notin;,&#8713;,Not in,Math
&ni;,&#8715;,Ni,Math
&prod;,&#8719;,Product,Math
&sum;,&#8721;,Sum,Math
&minus;,&#8722;,Minus,"Math, Dashes"
&lowast;,&#8727;,Asterisk (Lowast),Math
&radic;,&#8730;,Square root radical,Math
&prop;,&#8733;,Proportional to,Math
&infin;,&#8734;,Infinity,Math
&ang;,&#8736;,Angle,Math
&and;,&#8743;,And,Math
&or;,&#8744;,Or,Math
&cap;,&#8745;,Cap,Math
&cup;,&#8746;,Cup,Math
&int;,&#8747;,Integral,Math
&there4;,&#8756;,Therefore,Math
&sim;,&#8764;,Similar to,Math
&cong;,&#8773;,Congurent to,Math
&asymp;,&#8776;,Almost equal,Math
&ne;,&#8800;,Not equal,Math
&equiv;,&#8801;,Equivalent,Math
&le;,&#8804;,Less than or equal,Math
&ge;,&#8805;,Greater than or equal,Math
&sub;,&#8834;,Subset of,Math
&sup;,&#8835;,Superset of,Math
&nsub;,&#8836;,Not subset of,Math
&sube;,&#8838;,Subset or equal,Math
&supe;,&#8839;,Superset or equal,Math
&oplus;,&#8853;,Circled plus (Direct Sum),Math
&otimes;,&#8855;,Circled times (Vector Product),Math
